#dummy
25-06-2022 13:31:19 | inkycal.modules.inkycal_stocks_v2 |  INFO: creating chart data...
25-06-2022 13:31:19 | inkycal.modules.inkycal_stocks_v2 |  INFO: creating chart plot...
25-06-2022 13:31:19 | inkycal.modules.inkycal_stocks_v2 |  INFO: saving chart image to /tmp/inkycal_stocks/FB.png...
25-06-2022 13:31:19 | inkycal.modules.inkycal_stocks_v2 |  INFO: chartSpace is...364 100
25-06-2022 13:31:19 | inkycal.modules.inkycal_stocks_v2 |  INFO: open chart .../tmp/inkycal_stocks/FB.png
25-06-2022 13:31:19 | inkycal.modules.inkycal_stocks_v2 |  INFO: pasting chart image with index 0 to...47 0
25-06-2022 13:31:19 | inkycal.modules.inkycal_stocks_v2 |  ERROR: Ran out of lines for parsed_ticker_colour
25-06-2022 13:31:19 | __main__ |  INFO: #### SCRIPT END ####
25-06-2022 13:31:25 | __main__ |  INFO: ####  START ####
25-06-2022 13:31:25 | inkycal.modules.inkycal_stocks_v2 |  INFO: image size: 364 x 100 px
25-06-2022 13:31:25 | inkycal.modules.inkycal_stocks_v2 |  INFO: Connection test passed
25-06-2022 13:31:25 | inkycal.modules.inkycal_stocks_v2 |  INFO: preparing data for FB...
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: fetched 30 datapoints ...
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: firstQuote 191.24000549316406 ...
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: high 205.4600067138672 low 154.25 ...
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: META ($)
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: 170.16 +11.41 +7.19%
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: 1d OHL: 161.73/170.25/161.30
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: 30d OHL: 191.24/205.46/154.25
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: creating chart data...
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: creating chart plot...
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: saving chart image to /tmp/inkycal_stocks/FB.png...
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: chartSpace is...364 100
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: open chart .../tmp/inkycal_stocks/FB.png
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  INFO: pasting chart image with index 0 to...47 0
25-06-2022 13:31:29 | inkycal.modules.inkycal_stocks_v2 |  ERROR: Ran out of lines for parsed_ticker_colour
25-06-2022 13:31:29 | __main__ |  INFO: #### SCRIPT END ####
